months,"Total_gold_in_Treasury_coin_and_bullion","Gold_certificates_in_Treasury_cash","Gold_certificates_in_circulation","Net_gold_in_Treasury_coin_and_bullion","Cash_balance","Population","Per_capita_circulation"
July 1891,236848213.4,34004820,115715839,121113024.24,155783716,64334000,23.35
August 1891,244774896.7,87332022,108275079,132471408.66,160274395,64350000,23.51
September 1891,240744647.4,38221800,132451088,132573221.94,144987969,64367000,23.47
October 1891, , , ,127674422.81,139671920, , 
November 1891, , , ,129193224.35,139126918, ,
December 1891, , , ,130740630.90,134574128, ,

January 1892,282758263.62,17846810,163178059,119574904.24,131368460.0,64926000,24.7
February 1892,282123331.53,18130540,160012279,122122112.53,132162205,65089000,24.74
March 1892,259104006.94,16370170,154392229,125815040.34,132898884,65259000,24.78
April 1892,273623455.46,21941520,153715609,119909756.45,131518161,65432000,24.72
May 1892,271907481.56,41703180,125733099,114231882.86,126005887,65609000,24.7
June 1892,255777206.23,17365390,141385239,114342366.23,126692377,65793000,24.47
July 1892,257507725.6,13686200,146195899,110444391.66,127050286,65980000,24.47
August 1892,242543095.63,3874210,121387379,114156316.63,129152345,66170000,24.32
September 1892,240605348.5,23455190,121258019,119395509.58,131895918,66374000,24.32
October 1892,244201461.98,23181910,120255349,124006119.91,131011401,66583000,24.34
November 1892,247598465.81,19623850,112810039,124409656.29,130328919,66797000,24.34
December 1892,238358000.69,24025780,113883109,121266662.29,129092588,67015000,24.42

January 1893,228752532.5,15729770,120645819,108181713.53,125265068,66349000,24.23
February 1893,217672941.97,1782260,114385729,103284218.91,124128088,66508000,24.07
March 1893,218278332.99,8358310,111486009,106892223.99,125630728,66670000,24.07
April 1893,218052289.38,15841180,105282020,97011330.08,121482904,66837000,24.03
May 1893,196158469.69,3274670,101969069,95048640.76,121565154,67007000,23.88
June 1893,184638202.56,931710,87611029,95485413.59,122462290,67180000,23.8
July 1893,186813962.98,563270,64110249,99202933.98,117887568,67358000,21.02
August 1893,176423277.14,562590,87144109,96009123.4,107283911,67541000,25.29
September 1893,173209711.76,120220,79768999,93582172.16,106875633,67730000,25.29
October 1893,161277121.06,114960,78383079,84384862.26,102294292,67924000,25.47
November 1893,163174226.58,119600,78168903,82959049.09,95199617,68124000,25.49
December 1893,158803713.79,75900,77742179,80891600.13,90375555,68328000,25.55

January 1894,142665594.37,7850,77715419,65650175.37,84082100,67789000,25.66
February 1894,177462044.49,106400,70357925,106527068.49,138662365,68012000,24.9
March 1894,176450797.93,137910,100629000,106149135.63,133950025,68242000,21.85
April 1894,170197652.36,1402700,106938149,100202008.03,125097786,68513000,24.82
May 1894,148014867.48,1125650,100262009,78693267.58,117854336,68797000,24.54
June 1894,131927833.55,4390,63447209,64873024.55,117584436,69097000,24.13
July 1894,120411446.81,4300,96644009,54975607.41,119065352,69407000,22.38
August 1894,120865869.49,534730,65706009,55216900.49,127148097,69724000,23.09
September 1894,123705960.2,256200,64583009,58875317.92,119919719,70048000,24.0
October 1894,125613985.73,565280,64252069,61361826.73,107340146,70378000,24.27
November 1894,136505468.01,551270,58265909,105424569.01,144507606,70716000,22.72
December 1894,139634350.04,783600,53592989,86244445.05,153337580,71060000,23.52

January 1895,97355776.97,337060,52476809,44705967.27,144603304,95957000,23.3
February 1895,138598200.14,80100,51501769,87085511.14,178197586,96381000,22.09
March 1895,139489508.98,66460,48481109,90463307.08,187917261,96805000,22.77
April 1895,139466935.35,83400,74835122,91247144.35,180817916,97229000,22.92
May 1895,147690077.53,102900,45389669,99151408.53,185370100,97653000,23.02
June 1895,155893341.26,88390,48815609,107512362.46,195240154,98078000,22.92
